Star,Feedback
2,"Не довольна заказом. Крем пришёл без защитной фольги, открыт был, как будто даже не целый. Коробка вся мятая, грязная. Первый раз сталкиваюсь с таким товаром на Вайлдберриз. Не приятно(( Возврат не стала оформлять т.к. открывала его на работе. Думаю, что не оригинал"
5,"Крем пришёл в упаковке, годен до 25 года, не старый. Супер!!! Покупаю не первый раз, не разочарована."
5,Хороший крем рекомендуется 👍
5,"Хороший, беру не первый раз"
5,"Пользовалась этим кремом всю зиму, теперь приобрела еще один на следующую осень-зиму. Летом пользуюсь гелем для лица той же фирмы. Очень хорошо увлажняет кожу в мои 40 лет."
5,Любимый крем
5,Отличный крем!
5,"Крем нравится, спасибо."
5,"Спасибо , пришло все целое "
5,"Крем очень хороший, спасибо продавцу."
4,"Пришёл целый. Пахнет хорошо. Но для меня жирный. Лицо как блин, под тональный крем не очень. Пудрой закрепляется плохо. Подойдёт тем, кому надо прям напитать кожу. "
5,"Упакован в специальную коробочку, рада что упаковка стала достойной."
5,Все отлично упаковано
5,Рекомендую
5,Всё хорошо
5,Взяла в первые. Крем потрясающий. Кожа как у девочки. Советую.
5,"Хороший кремушек,  кожа стала выглядеть более ухоженной  чистой, такая мягкая и бархатистая, как кожа младенца, мне очень понравился крем, хорошо впитывается, никаких высыпаний нет и ничего не щиплет, как обычно у меня бывает после других кремов, это большой плюс, потому что у меня такая кожа что ничего не подходит, ни крема, ни патчи ни маски, сразу покрываюсь пятнами, что с лицом проблема что с руками. После крема кожа выглядит отдохнувшей и сияющей,  пахнет приятно, хочу ещё ночной заказать, маску приобрела для лица  ещё раньше крема, но всё боялась рисковать, ну если на крем аллергии нет , можно и маску применить. А скажите пожалуйста  есть крем для рук?"
5,"Норм, но Россия"
1,"Крем-подделка, так как нет целлофана на коробке, и вокруг глаз - тоже...Кожа, прекрасная (чистая, бархатная) после магазинного крема стала прежней после «Вайлдберисного» ненастоящего крема...Так разочарована: купила 3 банки Гиалурона Эксперта и 2 - Гиалурон вокруг глаз...Больше так не попадусь...😱"
5,"Крем заказывала для мамы. Пахнет очень приятно. Все целое, пришло быстро. Спасибо большое 💐"
2,"Крем забивает поры, после 2х дней применения покрылась мелкими прыщами. Не рекомендую"
5,"Отличный крем, все хорошо упаковано"
5,"Спасибо,отличный крем,беру не в первый раз."
5,Хороший крем. Очень довольна. Рекомендую к покупке.
3,"Крем в хорошем состоянии, но упаковка была рваная и не запечатанная в плёнку. Неприятно "
5,Приятный запах. При использовании покажет себя.
5,"Хорошо впитывается  , текстура жирная"
5,Запах крутой 😍
5,"На лето отлично, хорошо увлажняет, лёгкий!"
2,"Выбирала по отзывам, в итоге моей коже совсем не подошёл. Запах и текстура вроде ничего, но на лице после него можно блинчики жарить, - неприятный блеск. Пыталась несколько раз наносить в разные дни, в итоге каждый раз на следующий день прыщами лоб покрывался, кожа комбинированная. Наверное цена только за стеклянную баночку. Домазываю на тело, на нем такой блеск выглядит вполне уместно :)"
5,Отличный крем
1,"У меня ощущение, что это подделка. Раньше пользовалась этим кремом и не было таких реакций, а тут лицо щипит и он жирный очень оказался. К тому же совсем не запечатан."
5,"Пользуюсь давно,довольна! Спасибо!"
5,Крем хороший 
5,Крем хороший. Приятный запах.
5,"Отличный крем, лёгкая текстура. Рекомендую."
3,"Крем достаточно плотный и жирный, у кого проблемная и жирная кожа не советую."
5,"Крем хорошо упаковали, доставка быстрая , всё целое и срок годности хороший до 25г"
5,"Всё супер, упакован отлично, не повреждён, пришёл вовремя, без задержек, ничем не отличается от магазинного, если только ценой. "
5,Очень приятный крем по сносной цене. Радует)
2,"Не зря говорят, реклама - двигатель торговли! Так оно и есть. 
Морщины не разглаживаются, пользовалась не менее 4 мес, а ничего не изменилось."
5,Крем понравился!!!
1,"Крем отличный, но пришёл без упаковки производителя, то есть на коробке крема отсутствовал упаковачная слюда. Поэтому отказ. Почему за ваш косяк удержано при возврате 50 рублей "
5,"Пришли мои карандашики, очень понравились, держутся тоже классно"
5,Хороший крем!
5,"Постоянно покупаю , кожа супер "
5,Отличный крем . запах и текстура приятные 
2,"Не первый раз беру крем. Обычный. Бюджетный. Но вот упаковка подозрительная - нет защитной упаковочной плёнки, наклейка легко приклеивается и отклеивается. В самой баночке нет защитной крышечки, такой плоской. И маркёр так же легко отклеивается и приклеивается при повороте крышки. Сам крем налит вроде аккуратно, не тронут. Подделка? Или кто-то уже вскрывал? Надо бы отказаться, да заморачиваться и платить за возврат ещё не хотелось. Надеюсь, кожа не облезет. "
5,Очень классный крем!
5,"Крем замечательный, в меру жирненький, хорошо впитывает я. Буду заказывать ещё"
5,"Пришёл целый,все хорошо "
5,"Все хорошо упаковано, нанесла пока не вызвало аллергии, буду смотреть дальше"
5,Хороший продукт
5,хороший крем
5,"Хороший крем, пришел в коробочке, целый, не открытый."
5,Мне нравится!
4,"Упаковка без повреждения, все пломбы на месте"
5,Товар упакован идеально. Спасибо!
5,"Спасибо большое за крем. Пришло быстро, в отличном состоянии. К сожалению еще не успела протестировать."
5,Крем чудесный. Советую всем дамам бальзаковского возраста.
5,"Крем отличный.Хорошо увлажняет,на него хорошо ложится пудра.Запах приятный"
5,То что ожидала
5,"Обожаю этот крем) 
Всё хорошо) 
Спасибо)"
5,"Пришёл в дополнительной коробочке - упаковке, спасибо! Брала в подарок 🎁"
5,Всё супер.
5,Самый хороший крем!!!! Люблю его!!!!
4,"Упакован в пыльный пакет. Неприятно. Хорошо, что ещё был в коробке. А тушь вообще не упакована. Может её использовали? Тушь необходимо упаковывать, чтобы была уверенность."
5,"ВСЕ НОРМАЛЬНО,СПАСИБО!"
5,"Крем жирненький. Когда использую только его, лицо блестит. Но попробовала сначала наносить гель-концентрат, эффект отличный. Крем после него впитывается моментально. При совместном использовании пропала межбровная морщинка. В общем заказываю второй раз)"
5,Все хорошо
5,"Хороший крем , жирненький немного , хорошо ложился на него тональный крем , не для жирной кожи "
2,"Заказала дневной крем, отличается от моего, купленного в магазине, по цвету и не было защитной пленки (фольга) есть сомнения в подделке."
5,"Крем отличный!Нейтральный запах. Хорошо увлажняет кожу. Подходит, как основа под макияж."
5,Пользуюсь постоянно  мне подходит
5,"Крем хороший, давно им пользуюсь,но обычно брала в магазине за 480р🙈 ,увидела что здесь он 313р. решила попробовать. Крем точно такой же,мне нравится его нежный тонкий запах и текстура, единственное если вы пользуетесь тональным кремом, дайте минут 5 чтоб крем впитался,потом наносите тональный крем иначе скатается крем в катышки)) 
Теперь о минусах - пришел без упаковки, могли бы хотя бы в прозрачный пакетик положить и заклеить, коробка была грязная помятая и вскрытая, причем видно что целеноправленно. А так как крем ,под крышкой идет без защитной фольги,и крем в доступе,то это не очень приятно. Хотя многие пишут что упаковка хорошая,может это проблема не в продавце,а где то в пути вскрыли((
Позже попробую ещё раз заказать."
3,"Крем для комбинированной кожи тяжёлый и плотный, особенно для лета."
3,"Такое чувство,что крем подделка. До этого покупала его в магнит косметик и в нем присутствовала отдушка приятная, а в этом креме ее нет, это странно и прыщи повылазили.."
5,👍👍👍👍👍👍👍
5,"Отличный крем ! Для кого плотная текстура , не впитывается, очень жирный и тд . Вы значит не умеет наносить крем ! Наносить надо супер тонким слоем и будет все класс . Очень питательный,увлажняющий крем , думаю и под тональный крем тоже очень хорошо подойдет . И цена отличная (282р), в магнит косметике такой (550р) стоит)"
4,"Хороший крем. Но для дневного мне показалось слишком плотная текстура, после него  остаётся жирный блеск на лице."
5,Мне нравится этот крем. Впитывается хорошо.
5,"Товар пришёл  хорошо упакованный, не вскрытый. Брала впервые, кожа комбинированная, немного блеск остаётся на коже, но если по меньше слой наносить, то норм. От солнца защищает, а мне это и надо было👍 думаю, что буду брать ещё раз"
1,"Пришел без защитной пленки,стикер был порван.его уже открывали.либо открывали,либо это подделка!"
5,Крем хороший
5,Упакована отлично. Крем сам класс
5,"Отличный крем! Давно пользуюсь. Пришёл хорошо упакованный, срок годности в порядке!"
5,Хороший крем
5,"Спасибо большое за доставку товара в срок и упаковку! Все отлично! Кремом пользуюсь давно, рекомендую! 👍👍👏"
5,"Соответствует описанию , пришло целое , только коробка помята."
4,"Приятный крем, хорошо наносится. Но особого эффекта не заметил."
5,"Крем мне понравился,стоит взять😉буду покупать ещё ☺️"
5,"Кремом пользуюсь давно, очень нравятся. У меня серия ночной и дневной. Морщинки разглаживает, утром девочка встала! Рекомендую!"
5,Пришло всё целое
5,"Отличный крем. Запах, впитываемость , моей коже он нравится"
2,"Пробовала вчера первый раз - для моей кожи не подошёл, лицо блестело как масляный блин, сначала списала на то, что пока не впитался, но в итоге чуда так и не произошло. Немного порозовело лицо спустя пару часов после нанесения. Солнцезащитный эффект отличный, загорело всё, кроме областей под кремом. 
Смывала его вечером пенкой для лица, далее ничем не перекрывала, а утром обнаружила, что всё лицо, шея и грудь в мелких волдырях, всё чешется, жжётся и болит. Ранее ни на один косметический продукт такой реакции не наблюдалось.
Две звёздочки только за то, что крем был хорошо упакован и действительно защищает от солнца."
5,Крем хороший 
5,"Отличный, не жирный, запах приятный"
5,"Отличный крем.Подходит для моей комбинированной кожи,пользуюсь им уже два года,единственный пока что от которого лицо не покрывается сыпью,а наоборот разглаживается и выглядит свежо.Отдельное спасибо за упаковку:пупырка+пакетик плотный,вобщем пришло всё целое."
5,"Соответствует, спасибо"
5,"Отличный крем, приятный запах"
5,"Дневной, а такой жирный блеск от него... Тем, кто наносит под пудру - ок, но я декоративной косметикой не пользуюсь, поэтому мне не очень... Хотя по ощущениям и составу крем хороший. "
3,Мне не подошел. Жирный и кожа щиплет. 
5,Приятный нейтральный запах
5,"Пользуюсь, 👍 "
5,"Упаковка целая но помятая, но это не страшно, по пробуем в деле."
5,"Нежная, тонкая текстура,  приятный аромат"
4,"Крем вроде бы хороший, но сам флакон не запечатан😔"
5,Крем отличный
5,"Кремом довольна,беру уже не в первый раз.Замечательно увлажняет,кожа мягкая,бархатная и макияж ложится очень хорошо."
5,Хороший крем
5,"Находка, неплохой бюджетный продукт на каждый день. Доставка быстрая. Крем из разряда - до пустой баночки🙂"
5,Все good 👍 
5,"Очень понравился, нежный, лёгкий, нет ощущения пленки на лице! И оооооочень вкусно пахнет) "
5,"Беру не в первый раз, для меня идеальный."
2,"Крем жирный, совершенно другой, хотя всегда пользовалась подобным,с магнит косметики, разочарованная..."
2,"Коробочка в пакете открыв пакет коробка повреждена.
Оставила жаль не проверила на месте. Wb как всегда сюрпризы 🤬"
3,"К сожалению, мне крем не подошел.Жирный, закупоривает поры.Плохо впитывается."
5,"Заказывала маме,крем хороший,пришло всё целое🌟"
5,"Очень понравился крем, хорошо увлажняет. Кожа сияет"
5,"Очень нравится этот крем, спасибо за качество, заказываю уже не первый раз."
5,"Все хорошо, все пришло во время."
5,Очень хороший крем)
5,"Хороший крем, упаковано всё замечательно"
5,Понравилось
5,Пришел во время. Все норм.
5,"Заказ пришел быстро, упаковка надёжная и прочная"
1,Крем пришел вскрытый. Отправили вскрытый крем. Так как транспортировочная упаковка не повреждена. Очень не приятно. 
5,"Быстрая доставка , упаковали хорошо. Спасибо.
"
5,Отличный крем . Рекомендую . 
5,"Очень хороший крем, текстура легкая, кожа лица нежная после него  использую как основу под тональный крем"
1,"Я не знаю, какой он даст эффект и откуда столько восторженных отзывов. Отвратительно жирный крем, за полтора часа не впитался!!! Стирала салфеткой, чтобы выйти из дома и не блестеть. К тому же баночка была приоткрыта. В общем, правильно говорят:""Не гонялся бы ты поп за дешевизной!!!"""
5,"Всё отлично, крем пришёл быстро."
5,"Пришел целый не поврежден, товаром довольна"
5,"Нежная текстура, впитывается хорошо!) товар рекомендую"
5,👍рекомендую!
5,Крем пришёл хорошо упакован! Бысстрая доставка. Продавцу спасибо большое!!!
5,Текстура жирная 
5,"Получила крем, хоро упакона, приятный, запах. Мне понравилось"
5,Отличный крем.Буду брать еще.
5,"Все ок, работает"
5,"Коробка немного помята, а так всё отлично. 
На баночке пломба присутствовала. 
Коробка тоже была заклеена."
5,После первого применения кожа бархатистая! Закажу еще👍
5,Беру на WB уже третий раз.Крем мне нравится.Рекомендую!
5,"Отличный крем, спасибо)"
5,Крем хорошо был упакован. Пахнет приятно. Ещё не пользовалась.
5,"Крем-!бомба! Запах приятный,ложится легко и без блеска! Мне понравился. Спасибо за работу!"
5,Люблю этот крем! Все отлично!)
5,Отличный крем! Заказываю не а первый раз
5,Приятно пахнет
5,"Хороший, мне понравился"
5,Хороший крем. Пахнет отлично. Рекомендую.
5,Все пришло в целости и сохранности …крем хороший давно пользуюсь 
5,Хороший крем. Для моей жирной кожи подошел. Вся эта серия меня порадовала. 
5,"Крем очень хороший. Приятный на коже, ненавязчивый запах, без липкости. Рекомендую!"
2,Крем пришёл. Но уже кто то пользовался им.Ппишел не целый
5,"Спасибо, понравился крем. Неожиданно хорош"
5,"Этот крем, моя любовь!!!! И запах и текстура, всё подошло. Очень довольна результатом, увлажняет и  оставляет на коже не жирный блеск (при умеренном нанесении). Буду ещё заказывать)))"
5,"Заказывал маме, пользуются таким не первый год."
5,Текстура крема норм...запах отличный..наносится легко...
5,Спасибо за быструю доставку и хороший товар.
5,Пользуюсь давно. Мне нравиться. Упаковка целая. Доставили быстро.
5,"Проверила батч код, бьется, крему 3 мес 4 дня. Только упаковку чуть помята и без целлофана, а он должен быть. "
4,"Очень блестит лицо после него. Только на ночь могу наносить. Плюс то что спф, но ночью он не нужен. Попробую ещё крем наносить перед пляжем, может так истрачу. Дочь говорит, что с кремом я как будто после тренировки, то есть эффект вспотевшего лица. Мне не подходит."
5,"Хорошо увлажняет , приятный запах . "
5,"Уже брал, крем нормальный "
5,👍👍👍 хороший крем и ароматный
5,"Крем отличный. Пользкюсь давно. заказываю здесь, т.к. самая низкая цена"
5,"Хорошо увлажняет, приятно пахнет. Маленький расход."
3,"Плохо впитывается, оставляя липким лицо. Такое ощущение,что просто глицерином намазала. Под макияж точно не подойдёт."
5,Давно пользуюсь этим кремом. Мне нравится.
3,"Пришёл быстро, упакован хорошо, но такое ощущение что он уже раскрывался) нет никакой прослойки между кремом и крышкой "
5,"Быстрая доставка, качественная упаковка, крем ещё не побывала на надеюсь что классный, цена дешевле чем в магнит косметик"
5,"Хороший крем , свежий"
5,Крем хорший спасибо продавцу
5,"Хорошо упакован,крем отличный"
5,"Пользуюсь кремом второй месяц, результатом довольна! Прекрасно увлажняет сухую кожу, тонирует лицо! Рекомендую к покупке!"
5,Пришол в целости исохранности.
5,"Для моей кожи очень подходит, доволен покупкой."
1,Скатывается . Очень похож на подделку .
5,"Беру постоянно этот крем, очень нравится запах, не оставляет жирного блеска и липкости, кожу хорошо увлажняет. Очень нравится."
5,Отличный крем. Хорошо впитывается. Кожа после него мягкая. Рекомендую
5,"Хороший крем, кожа после него мягкая и шелковистая"
5,Крем 👍👍👍подойдёт и для прихотливой кожи 
5,"Замечательный крем. Приятный аромат, нежная и лёгкая текстура. Хорошо впитывается, не оставляет жирного блеска. "
5,Кремом очень довольна
4,"Кремом уже пользовалась не один раз. Приятный, без лишнего запаха. Хорошая консистенция. Но пришел в  мятой и рваной коробке, сама баночка цела. "
5,Очень хороший крем. Рекомендую.
5,"Всё отлично, крем то что хотела."
4,"Крем пришел без упаковки в пленку, как в магазинах а просто в полиэтилен , но прозрачный скотч на баночке был не поврежден. Ввкупила. Надеюсь что окажется качественным. Срок годности хороший."
5,"Хороший крем, упакован качественно. Цена ниже чем в магазинах. "
5,"Всё пришло во время хорошо упаковано. Крем хороший, беру не первый раз"
5,"Проблем к отгрузке нет. Крем пришёл в коробке. А основная коробочка была без слюды. За такие деньги, норм"
5,Пришло быстро. Крем хороший. Упаковка целая. 😊👍Буду еще заказывать!!!
5,Крем очень хороший
5,"Пришёл крем целый, упакованный в дополнительную коробку. Сам крем  нежный, хорошо наносится."
5,Крем супер мне очень понравился
5,Крем очень хорошо подходит для сухой кожи. Текстура крема нежная и мягко ложится на неё. Быстро впитывается и не оставляет жирных следов. Для дам «чуть старшего возраста» рекомендую.
5,Достойный!
5,Хороший крем. Супер!
5,Рекомендую
5,Крем хороший. Дешевле чем в магазине! Всём советую!
5,"Впервые пользуюсь этим кремом,очень понравился.вчера убедилась что он с spf, т.к.побыв вчера на солнце обгорело все кроме лица и шеи где был крем))))"
5,"Товар пришел,крем заказывала маме,она довольна. Рекомендую."
5,"Крем отличный, текстура нежная, аромат приятный, пользуюсь уже год. Рекомендую."
5,Крем понравился 
5,"Спасибо большое! Крем пришёл хорошо запакован, всё целое."
5,Крем классный
5,"Отличный крем,пользуюсь им постоянно. Отлично увлажняет."
5,Крем отличный. Упакован хорошо. 
5,"Заказываю не первый раз, все супер"
5,"Крем приехал раньше заявленного срока , что очень радует,  упаковка чуть смята - не критично потому как для себя, срок до 2025 года , пользуюсь всей линейкой , очень нравится. Спасибо)"
5,Все отлично 👍🏻 
3,Крем стал хуже: агрессивнее и не так увлажняет. Для чувствительной кожи не подходит.
5,"Покупала на подарок,в деле ещё незнаю,но с удовольствием поставлю 5 баллов,пришло всё в целости и сохранности:)"
5,Крем отличный! Рекомендую. Спасибо. Обязательно закажу ещё.
5,Крем супер. Спасибо 🤗
5,"крем хороший, мягкий, лугкий!"
5,"Первый раз заказываю , пришёл быстро"
5,Отличный крем! Упакован прекрасно!❤
5,Мой любимый крем на протяжении долгого времени. Заказываю уже не первую банку. Кожа красиво сияет даже под тональным средством. Сделали комплимент насчёт сияния кожи :)
5,Крем хороший
5,"Заказываю вторую банку мне очень понравился,меня он спосает т.к у меня очень сухая кожа я все крема перепробывала,заказывайте не пожалеете"
5,"Крем отличный,увлажняет хорошо"
5,Крем очень хороший
5,"За свои деньги отличный крем, не жирнит, хорошо впитывается, мне отлично подошёл "
5,"Упакован в коробочку и в пакетик, доставка быстрая"
5,"Крем пришел отлично упакованный. Коробка, баночка запечатаны. Все отлично!"
5,Был хорош упакован
5,"Крем приятно пахнет,соответствует описанию."
5,"Покупаю этот крем не первый раз, очень довольна им! Рекомендую."
5,"Крем супер, беру второй раз"
4,"Хороший крем, возрастной. Рекомендую."
3,Очень сильный запах…
5,"классный крем, с нежным запахом. И хорошо увлажняет кожу"
5,"Крем замечательный, пришёл в упаковочке."
5,"Получила,запах приятный, лёгкая текстура"
5,Отличный крем 
5,"100,запах огонь и так тоже ничего"
3,"Заказываю 3-й раз, последний раз крем пришёл без заводской слюды, и наполнен не совсем полно, поэтому такая оценка"
5,Крем хороший мне понравился спасибо большое
5,"Обожаю этот крем. Лёгкий, хорошо впитывается. SPF защита. Идеально для лета."
5,"Мне крем нравится, субстанция нежная, хорошо и быстро впитывается. Единственное, что, если нанести слишком много, может начать в маленькие комочки скатываться при проведении по лицу."
